name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,lyrics,mood
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,2007-10-30,13,351560,0.4920000000000001,0.0004440000000000001,0.95,6.22e-05,0.22,0.391,-4.195,0.076,110.027,2,4,"
Like walking into a dream, so unlike what you've seen
So unsure but it seems, 'cause we've been waiting for you
Fallen into this place, just giving you a small taste
Of your afterlife here so stay, you'll be back here soon anyway
I see a distant light, but girl, this can't be right
Such a surreal place to see, so how did this come to be?
Arrived too early


And when I think of all the places I just don't belong
I've come to grips with life and realize this is going too far


I don't belong here, we gotta move on, dear
Escape from this afterlife
'Cause this time I'm right to move on and on
Far away from here


A place of hope and no pain, perfect skies with no rain
Can leave this place but refrain, 'cause we've been waiting for you
Fallen into this place, just giving you a small taste
Of your afterlife here so stay, you'll be back here soon anyway
This peace on Earth's not right (with my back against the wall)
No pain or sign of time (I'm much too young to fall)
So out of place, don't wanna stay, I feel wrong and that's my sign
I've made up my mind


Give me your hand but realize I just wanna say goodbye
Please understand I have to leave and carry on my own life


I don't belong here, we gotta move on, dear
Escape from this afterlife
'Cause this time I'm right to move on and on
Far away from here
Got nothing against you and surely I'll miss you
This place full of peace and light
And I'd hope you might take me back inside
When the time is right


Loved ones back home all crying
'Cause they’re already missing me
I pray by the grace of God
That there’s somebody listening
Give me a chance to be that person I wanna be
(I am unbroken, I’m choking on this ecstasy)
Oh, Lord, I’ll try so hard, but you gotta let go of me
(Unbreak me, unchain me, I need another chance to live!)




I don't belong here, we gotta move on dear
Escape from this afterlife
'Cause this time I'm right to move on and on
Far away from here
Got nothing against you and surely I'll miss you
This place full of peace and light, and I'd hope you might
Take me back inside when the time is right",Energetic
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,2016-10-28,0,210626,0.402,1.19e-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4,"

Too many ways
Too many ways
To tell

Too many days
Too many days
To read and respell

Your name
To spell your name

Way too many ways
To spell your name


Move my feet to the algo rhythm
Soar with the lord of the flies into the vacuum sky
I don’t need to be satisfied
I just wanna be brought down that line



1 0 0 1 1 0 1
Round up count down
Count on on everyone

I don’t care if I’m your slave
Cause’ I’m also your driver
I don’t care if I’m your slave
I’m also your driver



Move my feet to the algo rhythm
Soar with the lord of the flies into the vacuum sky
I don’t expect this ….. to crystalize
Just let me slip past my time",Sad
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,1993,0,231893,0.279,0.00957,0.423,0.8370000000000001,0.128,0.29100000000000004,-12.06,0.038,101.571,4,4,"
Listen close and don't be stoned
I'll be here in the morning
'Cause I'm just floating
Your cigarette still burns
Your messed-up world will thrill me
Alison, I'm lost


""Alison,"" I said, ""We're sinking""
There's nothing here but that's okay
Outside your room, your sister's spinning
But she lies, tells me she's just fine
I guess she's out there somewhere


And the sailors, they strike poses
TV covered walls
End so slowly
With your talking and your pills
Your messed-up life still thrills me
Alison, I'm lost


Alison, I'll drink your wine
I wear your clothes when we're both high
""Alison,"" I said, ""We're sinking""
But she laughs and tells me it's just fine
I guess she's out there somewhere",Sad
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,2018-11-16,51,180468,0.494,0.00248,0.847,0.0,0.0502,0.14800000000000002,-3.996,0.0537,129.909,0,4,"Every step I take is like I'm walking back
Every day I wake, another heart attack
It tells me that I'm lonely

Say that I've lost my way

Nobody can see the road I travel alone
I find another path, another setting sun
I find the way I show you exactly how I feel tonight

Cause there's something going on inside
Stress in every new day
And I know I got the power you find
There's nothing in my way tonight,
I know

I may be lost but I'm still alive

Every step I take is like I'm walking back
Every day I wake, another heart attack
It tells me that I'm lonely
Say that I've lost my way

Nobody can see the road I travel alone
I find another path, another setting sun
I find the way I show you exactly how I feel tonight

Cause there's something going on inside
Stress in every new day
And I know I got the power you find
There's nothing in my way tonight,
I know

I may be lost but I'm still alive",Energetic
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,2012-09-07,29,306600,0.189,0.113,0.4270000000000001,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,3,"
All I want is nothing more
To hear you knocking at my door
'Cause if I could see your face once more
I could die a happy man, I'm sure
When you said your last goodbye
I died a little bit inside
I lay in tears in bed all night
Alone without you by my side


But if you loved me, why'd you leave me?
Take my body, take my body
All I want is, and all I need is
To find somebody, I'll find somebody
Like you, oh, oh, oh
Like you, like you


So you brought out the best in me
A part of me I'd never seen
You took my soul and wiped it clean
Our love was made for movie screens


But if you loved me, why'd you leave me?
Take my body, take my body
All I want is, and all I need is
To find somebody, I'll find somebody
Oh, oh, oh, oh
Oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh


If you loved me, why'd you leave me?
Take my body, take my body
All I want is, and all I need is
To find somebody, I'll find somebody
Like you",Sad
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,2019-07-31,1,282026,0.429,0.00299,0.6890000000000001,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,"I've been watchin' all of my past repeatin'
There's no endin', and when I stop pretendin'
See you standin', a million moments landin'
On your smile, buried alive, I could have
Died to stay there, never have to leave there

All this trouble tryin' to catch right up with me
I keep movin', knowin' someday that I will be
Standin', facin', all mirrors are erasin'
Losin' beauty, at least at times it knew me
At least at times it knew me
At least at times it knew me

Standing, facin', all mirrors are erasin'
Losin' beauty, at least at times it knew me
Standin', facin', all mirrors are erasin'
Losin' beauty, at least at times it knew me
At least at times it knew me
At least at times it knew me
(At least at times it knew me)
(At least at times it knew me)
(At least at times it knew me)
(At least at times it knew me)",Sad
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,2005-09-01,39,225440,0.488,0.0303,0.879,0.0,0.28800000000000003,0.483,-3.505,0.0514,94.003,6,3,"
Once more I say goodbye, to you
Things happen but we don't really know why
If it's supposed to be like this, why do most of us ignore the chance to miss?
Oh yeah


Torn apart at the seams and my dreams turn to tears, I'm not feeling this situation
Run away try to find a safe place you can hide
It's the best place to be when you're feeling like


Me! (me!)
Yeah! (yeah!)
All these things I hate revolve around
Me! (me!)
Yeah! (yeah!)
Just back off before I snap


Once more you tell those lies, to me
Why can't you just be straight up with honesty? (honesty)
When you say those things in my ear
Why do you always tell me what you wanna hear? (wanna hear)
Oh yeah (yeah!)


Wear your heart on your sleeve, make things hard to believe
I'm not feeling this situation
Run away try to find that safe place you can hide
It's the best place to be when you're feeling like


Me! (me!)
Yeah! (yeah!)
All these things I hate revolve around
Me! (me!)
Yeah! (yeah!)
Just back off before I snap

And you'll see! (me)
Me! (me!)
Yeah! (yeah!)
All these things I hate revolve around
Me! (me!)
Yeah! (yeah!)
Just back off before I snap




Torn apart at the seams and my dreams turn to tears
I'm not feeling this situation
Run away try to find a safe place you can hide
It's the best place to be when you're feeling like me

It's the best place to be when you're


Me! (me!)
Yeah! (yeah!)
All these things I hate revolve around
Me! (me!)
Yeah! (yeah!)
Just back off before I snap

And you'll see! (me)
Me! (me!)
Yeah! (yeah!)
All these things I hate revolve around
Me! (me!)
Yeah! (yeah!)
Just back off before I snap",Energetic
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,2003-11-10,39,219573,0.429,1.94e-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4,"
Hey you, someone said you were lost out there
In the grip, trying to strangle us all down here
In the meantime, are you ever going to set us free
Hey you, will we ever get out of here?


Are you ever going to surrender?
Do you even care?
Wasn't talking about sweet submission
It wasn't even there


All in the suit that you wear
When you're looking for something
It's in the suit that you wear
When you're hiding from someone
All in the suit that you wear
When you wear it


Hey you, you keep a-walking the razor
On the edge, you cut your feet when you stand in there
In the meantime, there's always someone to set you free
Hey you, will you ever get out of there?


Are you ever going to surrender?
Do you even care?
Wasn't talking about sweet submission
It wasn't even there


All in the suit that you wear
When you're looking for something
It's in the suit that you wear
When you're hiding from someone
All in the suit that you wear
When you wear it


In the suit that you wear
In the suit that you wear
In the suit that you wear
In the suit that you wear


All in the suit that you wear
When you're looking for something
It's in the suit that you wear
When you're hiding from someone
All in the suit that you wear
When you wear it


All in the suit that you wear, when you wear it
All in the suit that you wear, when you wear it",Energetic
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,2013-08-30,85,269560,0.422,0.922,0.264,0.0,0.132,0.331,-7.064,0.0322,119.93,8,4,"
What would I do without your smart mouth?
Drawin' me in and you kickin' me out
You've got my head spinnin', no kiddin'
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright


My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind


'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'


'Cause I give you all of me
And you give me all of you, oh-oh


How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you


My head's under water, but I'm breathin' fine
You're crazy and I'm out of my mind


'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'


'Cause I give you all of me
And you give me all of you, oh-oh


Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard


'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'


'Cause I give you all of me
And you give me all of you


I give you all of me
And you give me all of you, oh-oh",Sad
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,2002-11-12,63,231200,0.363,0.0122,0.906,0.0,0.172,0.371,-4.415,0.0615,181.96400000000003,1,4,"
I hear a voice say, ""Don't be so blind""
It's telling me all these things
That you would probably hide
Am I your one and only desire?
Am I the reason you breathe?
Or am I the reason you cry?


Always
Always
Always
Always
Always
Always
Always
I just can't live without you


I love you
I hate you
I can't get around you
I breathe you
I taste you
I can't live without you
I just can't take any more
This life of solitude
I guess that I'm out the door
And now I'm done with you


I feel like you don't want me around
I guess I'll pack all my things
I guess I'll see you around
It's all been bottled up until now
As I walk out your door
All I can hear is the sound


Always
Always
Always
Always
Always
Always
Always
I just can't live without you


I love you
I hate you
I can't get around you
I breathe you
I taste you
I can't live without you
I just can't take any more
This life of solitude
I guess that I'm out the door
And now I'm done with you


I love you
I hate you
I can't live without you

I left my head around your heart
Why would you tear my world apart?

Always
Always
Always
Always


I see the blood all over your hands
Does it make you feel more like a man?
Was it all just a part of your plan?
The pistol's shakin' in my hands
And all I hear is the sound


I love you
I hate you
I can't live without you
I breathe you
I taste you
I can't live without you
I just can't take any more
This life of solitude
I guess that I'm out the door
And now I'm done with you


I love you
I hate you
I can't live without you

I love you
I hate you
I can't live without you
I just can't take any more
This life of solitude
I pick myself off the floor
And now I'm done with you
Always
Always
Always",Energetic
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,2015-10-23,0,256282,0.486,0.755,0.35600000000000004,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,"
Took the breath from my open mouth
Never known how it broke me down
I went in circles somewhere else
Shook the best when your love was home
Storing up on your summer glow
You went in search of someone else


And I hear your ship is comin' in
Your tears a sea for me to swim
And I hear a storm is comin' in
My dear, is it all we've ever been?


Caught the air in your woven mouth
Leave it all, I'll be hearing how you went
In search of someone else
They taught the hand that taut the bride
Both our eyes locked to the tide
We went in circles somewhere else


And I hear your ship is comin' in
Your tears a sea for me to swim
And I hear a storm is comin' in
My dear, is it all we’ve ever been?


Anchor up to me, love
Anchor up to me, love
Anchor up to me, love
Oh, anchor up to me
My love, my love, my love",Sad
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,2019-01-17,36,280186,0.463,0.3670000000000001,0.462,0.0012,0.35600000000000004,0.189,-7.94,0.0272,131.273,1,4,"
Andromeda's a big wide open galaxy
Nothing in it for me
'Cept my heart that's lazy
Runnin' from my own life now
I'm really turnin' some time
Looking up to the sky for something I may never find


Stop calling
It's time to let me be
If you think you can save me
I dare you to try


Lift the heart from the depths it's fallen to
We all want something new
But can't seem to follow through
Something's better than nothing
Or so that I thought
Now I know it's just one dream
All these others gonna tear me apart


Love is calling
It's time to let it through
Find a love that will make you
I dare you to try


Crazy guy
I think this is deep
Think it's meant to be
More than anything I can think of
I'm ready to try


Treat me right
I'm still a good man's daughter
Let me in if I break
And be quiet if I shatter
Gettin' tired of looking
You know that I hate the game
Don't wanna waste any more time
You know I been holdin' out


Love is calling
It's time to give to you
Something you can hold onto
I dare you to try",Sad
